x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.070000,0.010000,2.16392701e-01,-1.23716159e+00,-5.64272698e-01,9.34533664e-02,1.36297689e+00
-0.150000,-0.070000,0.020000,2.15006799e-01,-1.21127735e+00,-5.52938664e-01,1.82697831e-01,1.34399125e+00
-0.150000,-0.070000,0.030000,2.12764972e-01,-1.17040603e+00,-5.34989055e-01,2.64108488e-01,1.31370349e+00
-0.150000,-0.070000,0.040000,2.09759621e-01,-1.11748147e+00,-5.11650715e-01,3.35061450e-01,1.27389853e+00
-0.150000,-0.070000,0.050000,2.06103593e-01,-1.05584617e+00,-4.84338420e-01,3.94096235e-01,1.22666486e+00
-0.150000,-0.070000,0.060000,2.01918763e-01,-9.88794697e-01,-4.54468223e-01,4.40839742e-01,1.17413628e+00
-0.150000,-0.070000,0.070000,1.97326216e-01,-9.19249679e-01,-4.23319284e-01,4.75777194e-01,1.11829474e+00
-0.150000,-0.070000,0.080000,1.92439072e-01,-8.49592466e-01,-3.91955634e-01,4.99969043e-01,1.06085137e+00
-0.150000,-0.070000,0.090000,1.87358090e-01,-7.81622089e-01,-3.61200280e-01,5.14787582e-01,1.00319738e+00
-0.150000,-0.070000,0.100000,1.82169634e-01,-7.16597934e-01,-3.31645649e-01,5.21710589e-01,9.46405502e-01
-0.150000,-0.060000,-0.100000,4.63309626e-02,-1.88226747e-01,-7.45526998e-02,-1.37383845e-01,2.44666578e-01
-0.150000,-0.060000,-0.090000,4.76995210e-02,-2.05935961e-01,-8.14174287e-02,-1.36014243e-01,2.59881304e-01
-0.150000,-0.060000,-0.080000,4.90442831e-02,-2.24550652e-01,-8.85931509e-02,-1.32554664e-01,2.75395135e-01
-0.150000,-0.060000,-0.070000,5.03422343e-02,-2.43736873e-01,-9.59438190e-02,-1.26581704e-01,2.90922339e-01
-0.150000,-0.060000,-0.060000,5.15661867e-02,-2.63003419e-01,-1.03276572e-01,-1.17692132e-01,3.06085424e-01
-0.150000,-0.060000,-0.050000,5.26852557e-02,-2.81685226e-01,-1.10338173e-01,-1.05561317e-01,3.20412656e-01
-0.150000,-0.060000,-0.040000,5.36660188e-02,-2.98950724e-01,-1.16820353e-01,-9.00203250e-02,3.33349950e-01
-0.150000,-0.060000,-0.030000,5.44745007e-02,-3.13847779e-01,-1.22378347e-01,-7.11415038e-02,3.44293482e-01
-0.150000,-0.060000,-0.020000,5.50789700e-02,-3.25397881e-01,-1.26664847e-01,-4.93106892e-02,3.52646152e-01
-0.150000,-0.060000,-0.010000,5.54532648e-02,-3.32733478e-01,-1.29376775e-01,-2.52552268e-02,3.57893481e-01
-0.150000,-0.060000,0.000000,2.22320220e-01,-1.34100395e+00,-5.21222371e-01,-8.33700826e+04,8.33700827e+04
